id,UKERC7,UKERC9w,UKERC9
192,0.085,0.05,0.0875
193,0.08,0.0675,0.08
194,0.11,0.12,0.155
195,0.145,0.16,0.2175
196,0.13,0.1275,0.1475
197,0.0075,0.025,0.025
198,0.1075,0.17,0.1975
199,0.3075,0.2075,0.3075
200,0.555,0.4675,0.5625
201,0.9,0.735,0.9
202,0.865,0.655,0.865
203,0.85,0.7975,0.85
204,0.485,0.4125,0.4875
205,0.36,0.23,0.36
206,0.2825,0.1925,0.31
207,0.2275,0.2125,0.2375
208,0.14,0.135,0.1625
209,0.08,0.0975,0.12
210,0.06,0.05,0.06
211,0.1125,0.0675,0.1125
212,0.15,0.12,0.1575
213,0.1925,0.165,0.2
214,0.0725,0.0625,0.0725
215,0.11,0.105,0.11
216,0.06,0.0425,0.06
217,0.0525,0.0375,0.0525
218,0.1625,0.145,0.1675
219,0.1875,0.125,0.255
220,0.0825,0.1125,0.1325
221,0.24,0.195,0.2425
222,0.8225,0.6675,0.8225
223,0.9575,0.9025,0.9575
224,0.795,0.6975,0.7975
225,0.715,0.5675,0.73
226,0.43,0.2975,0.44
227,0.36,0.1425,0.3625
228,0.2475,0.19,0.25
229,0.2225,0.1925,0.225
230,0.2325,0.1925,0.2325
231,0.11,0.1075,0.1125
232,0.15,0.1425,0.15
233,0.1875,0.1725,0.1875
234,0.075,0.0675,0.08
235,0.1025,0.095,0.1075
236,0.34,0.335,0.34
237,0.325,0.285,0.325
238,0.1875,0.0925,0.19
239,0.095,0.075,0.095
240,0.0325,0.025,0.0325
241,0.145,0.14,0.19
242,0.0475,0.0475,0.05
243,0.905,0.785,0.9075
244,0.9475,0.7925,0.9475
245,0.8075,0.755,0.8125
246,0.665,0.6325,0.735
247,0.435,0.56,0.675
248,0.195,0.1025,0.22
249,0.5725,0.5075,0.5725
250,0.77,0.75,0.77
251,0.245,0.235,0.2525
252,0.1225,0.12,0.1225
253,0.0525,0.05,0.0525
254,0.1825,0.09,0.1825
255,0.1475,0.125,0.15
256,0.6925,0.6775,0.6925
257,0.7725,0.7725,0.7725
258,0.7325,0.5925,0.735
259,0.6025,0.285,0.6025
260,0.13,0.1175,0.13
261,0.1325,0.145,0.155
262,0.17,0.2225,0.265
263,0.08,0.095,0.095
264,0.945,0.765,0.9675
265,0.7325,0.6125,0.7325
266,0.625,0.55,0.625
267,0.335,0.3,0.3625
268,0.1725,0.165,0.205
269,0.3125,0.22,0.33
270,0.2675,0.23,0.2675
271,0.295,0.23,0.3075
272,0.1475,0.1325,0.15
273,0.3775,0.325,0.3775
274,0.1575,0.15,0.1575
275,0.1125,0.075,0.115
276,0.2875,0.265,0.29
277,0.3575,0.3575,0.3575
278,0.265,0.265,0.265
279,0.235,0.145,0.235
280,0.1525,0.1325,0.1525
281,0.135,0.085,0.135
282,0.35,0.3325,0.3925
283,0.1925,0.295,0.33
284,0.07,0.0775,0.0775
285,0.1425,0.1425,0.1425
286,0.1675,0.185,0.1875
287,0.8675,0.7425,0.8775
288,0.165,0.1425,0.165
289,0,0,0
290,0.0075,0.005,0.0075
291,0.0725,0.045,0.0725
292,0.0775,0.055,0.0775
293,0.1675,0.1325,0.1775
294,0.1475,0.1075,0.1475
295,0.4175,0.395,0.42
296,0.4225,0.4075,0.4225
297,0.0675,0.0525,0.07
298,0.09,0.06,0.09
299,0.0775,0.0575,0.0775
300,0.1,0.1,0.1
301,0.0275,0.0275,0.0275
302,0.1625,0.0975,0.185
303,0.0825,0.055,0.085
304,0.0925,0.0325,0.0925
305,0.135,0.1125,0.145
306,0.0625,0.0925,0.1
307,0.0025,0.0025,0.0025
308,0.1425,0.1425,0.1425
309,0.1125,0.1125,0.1125
310,0.2075,0.1925,0.2075
311,0.305,0.25,0.305
312,0.0125,0.0125,0.0125
313,0.0075,0.0075,0.0075
314,0,0,0
315,0.01,0.005,0.01
316,0.145,0.115,0.145
317,0.565,0.4775,0.5725
318,0.56,0.5775,0.685
319,0.39,0.365,0.425
320,0.475,0.395,0.475
321,0.355,0.34,0.3575
322,0.0625,0.0475,0.0625
323,0.25,0.245,0.25
324,0.1375,0.1325,0.1375
325,0.075,0.075,0.075
326,0.0225,0.0275,0.035
327,0.0825,0.085,0.095
328,0.075,0.05,0.095
329,0.0075,0.0075,0.0125
330,0.0075,0.0075,0.0075
331,0.3675,0.3675,0.3675
332,0.115,0.115,0.115
333,0,0,0
334,0,0,0
335,0.4725,0.4725,0.4725
336,0.4675,0.4675,0.4675
337,0.265,0.265,0.265
338,0.0375,0.02,0.0375
339,0.185,0.1675,0.185
340,0.4725,0.4225,0.4925
341,0.635,0.945,0.9625
342,0.6375,0.63,0.7625
343,0.3025,0.2075,0.3025
344,0.2375,0.095,0.2375
345,0.225,0.2,0.2275
346,0.315,0.28,0.315
347,0.1175,0.085,0.1325
348,0.1375,0.13,0.1425
349,0.19,0.19,0.19
350,0.0975,0.1,0.1
351,0,0,0
352,0.06,0.06,0.06
353,0.31,0.31,0.31
354,0.21,0.21,0.21
355,0.11,0.11,0.11
356,0.3425,0.3375,0.345
357,0.4525,0.4225,0.4525
358,0.8175,0.78,0.8275
359,0.935,0.96,0.9925
360,0.8725,0.7775,0.8825
361,0.34,0.2925,0.3425
362,0.175,0.1625,0.175
363,0.1225,0.1025,0.1225
364,0.16,0.135,0.1775
365,0.0625,0.06,0.08
366,0.06,0.0575,0.06
367,0,0,0
368,0.015,0.015,0.015
369,0.195,0.195,0.195
370,0.095,0.095,0.095
371,0.26,0.26,0.26
372,0.495,0.4875,0.495
373,0.32,0.28,0.3225
374,0.7125,0.6375,0.715
375,0.885,0.85,0.8875
376,0.9375,0.8675,0.9375
377,0.36,0.2725,0.365
378,0.28,0.2575,0.2825
379,0.2275,0.2125,0.2275
380,0.365,0.3,0.365
381,0.12,0.09,0.1225
382,0.11,0.1075,0.11
383,0.0375,0.0375,0.0375
384,0.0025,0.0025,0.0025
385,0.245,0.245,0.245
386,0.125,0.125,0.125
387,0.5475,0.5475,0.5475
388,0.26,0.26,0.26
389,0.355,0.3325,0.3575
390,0.7175,0.69,0.7425
391,0.9575,0.945,0.965
392,0.8475,0.785,0.8475
393,0.5875,0.5425,0.595
394,0.2175,0.19,0.2175
395,0.2,0.1875,0.2
396,0.1225,0.095,0.125
397,0.345,0.345,0.345
398,0.0375,0.0375,0.0375
399,0.0175,0.0175,0.0175
400,0.0625,0.0625,0.0625
401,0.1125,0.115,0.115
402,0.545,0.6,0.615
403,0.68,0.8875,0.9325
404,0.525,0.585,0.6075
405,0.7225,0.8075,0.8475
406,0.2975,0.28,0.33
407,0.115,0.1,0.115
408,0.115,0.09,0.115
409,0.095,0.0675,0.095
410,0.22,0.215,0.22
411,0.0075,0.0075,0.0075
412,0.05,0.0525,0.0525
413,0.205,0.19,0.21
414,0.565,0.5475,0.625
415,0.755,0.8325,0.8525
416,0.9775,0.99,0.9975
417,0.9425,0.9975,1
418,0.16,0.3075,0.3625
419,0.0525,0.0575,0.0925
420,0.1275,0.1025,0.2
421,0.1,0.06,0.1
422,0.065,0.055,0.065
423,0.015,0.0125,0.015
424,0.415,0.4975,0.535
425,0.9175,0.665,0.95
426,0.69,0.7125,0.7875
427,0.9925,0.9825,0.995
428,0.975,0.97,1
429,0.6675,0.7225,0.75
430,0.0925,0.0975,0.1
431,0.5675,0.4525,0.64
432,0.52,0.4125,0.5725
433,0.6125,0.375,0.6925
434,0.1375,0.135,0.14
435,0.06,0.0575,0.06
436,0.765,0.7175,0.8075
437,0.9975,0.9175,1
438,0.9175,0.9275,0.9325
439,0.725,0.6975,0.73
440,0.99,0.9875,0.9925
441,0.5175,0.45,0.5325
442,0.1525,0.1525,0.1525
443,0.42,0.3775,0.44
444,0.7775,0.805,0.875
445,0.3975,0.4475,0.5025
446,0.035,0.035,0.035
447,0.01,0.01,0.01
448,0.0275,0.0275,0.03
449,0.0375,0.0375,0.0375
450,0.47,0.47,0.54
451,0.85,0.8975,0.97
452,0.37,0.3975,0.47
453,0.675,0.6925,0.7225
454,0.9725,0.9725,0.9825
455,0.3975,0.335,0.425
456,0.16,0.13,0.16
457,0.3575,0.3225,0.3575
458,0.05,0.0275,0.05
459,0.015,0.0125,0.015
460,0.1425,0.125,0.1525
461,0.4025,0.295,0.4225
462,0.2175,0.1775,0.2525
463,0.245,0.1475,0.2525
464,0.185,0.1475,0.23
465,0.1725,0.1975,0.1975
466,0.2425,0.225,0.2625
467,0.42,0.3275,0.445
468,0.97,0.9925,0.995
469,0.9,0.925,0.9625
470,0.5025,0.4075,0.55
471,0.4125,0.295,0.415
472,0.115,0.1025,0.115
473,0.0075,0.005,0.01
474,0.635,0.485,0.6475
475,0.9725,0.4775,0.9825
476,0.9575,0.4925,0.9625
477,0.7225,0.41,0.7325
478,0.5775,0.37,0.6275
479,0.275,0.1525,0.295
480,0.4075,0.315,0.42
481,0.62,0.4875,0.63
482,0.9375,0.615,0.9525
483,0.5675,0.485,0.5975
484,0.27,0.2025,0.27
485,0.5525,0.53,0.5525
486,0.0125,0.0125,0.0125
487,0.335,0.2375,0.335
488,0.9875,0.45,0.9925
489,1,0.68,1
490,0.975,0.665,0.975
491,0.68,0.39,0.68
492,0.51,0.2525,0.5125
493,0.9625,0.6175,0.965
494,0.99,0.585,0.99
495,0.9975,0.37,1
496,0.8675,0.7875,0.8925
497,0.175,0.1125,0.1975
498,0.125,0.0925,0.13
499,0.03,0.03,0.03
500,0.45,0.3475,0.4525
501,0,0,0
502,0.615,0.4475,0.6175
503,1,0.685,1
504,0.95,0.8,0.95
505,0.99,0.8575,0.99
506,0.9625,0.565,0.9625
507,1,0.4125,1
508,0.8675,0.615,0.87
509,0.905,0.5475,0.905
510,0.8925,0.8125,0.905
511,0.3925,0.2775,0.4125
512,0.0475,0.0475,0.0575
513,0.5675,0.3325,0.5725
514,0.4675,0.355,0.4775
515,0.2075,0.0825,0.2075
516,0.36,0.355,0.36
517,0.9975,0.99,0.9975
518,1,0.8175,1
519,0.8275,0.67,0.83
520,0.925,0.805,0.9325
521,0.9875,0.7925,0.9925
522,0.7775,0.635,0.7825
523,0.195,0.1325,0.195
524,0.695,0.665,0.6975
525,0.24,0.175,0.245
526,0.0125,0.0375,0.0375
527,0.055,0.0475,0.055
528,0.4975,0.465,0.4975
529,0.2025,0.1975,0.2025
530,0.4425,0.22,0.4425
531,0.5875,0.48,0.5875
532,0.145,0.1,0.145
533,0.8125,0.775,0.82
534,0.8575,0.6925,0.8575
535,0.99,0.9075,0.99
536,0.7575,0.6225,0.7575
537,0.7675,0.67,0.7725
538,0.8225,0.6475,0.8325
539,0.7975,0.7325,0.8025
540,0.4175,0.35,0.42
541,0.09,0.0425,0.0925
542,0.025,0.0175,0.025
543,0.005,0.005,0.005
544,0.64,0.615,0.6425
545,0.62,0.6025,0.62
546,0.42,0.2575,0.42
547,0.66,0.3125,0.665
548,0.5875,0.38,0.59
549,0.75,0.695,0.7675
550,0.8325,0.705,0.8425
551,0.95,0.8925,0.955
552,0.98,0.925,0.98
553,0.685,0.6,0.6875
554,0.635,0.5625,0.635
555,0.5225,0.475,0.5225
556,0.6225,0.49,0.6225
557,0.0675,0.04,0.0675
558,0,0,0
559,0.2325,0.2325,0.2325
560,0.535,0.4025,0.535
561,0.8275,0.33,0.8375
562,0.9525,0.44,0.9525
563,0.8575,0.6725,0.875
564,0.79,0.665,0.9
565,0.76,0.615,0.7625
566,0.4825,0.36,0.49
567,0.7175,0.6275,0.7175
568,0.3,0.2675,0.3
569,0.03,0.0225,0.03
570,0.0125,0.0025,0.0125
571,0.0375,0.035,0.0375
572,0.015,0.015,0.015
573,0.0925,0.0875,0.0925
574,0.9775,0.525,0.9775
575,0.935,0.51,0.935
576,0.9975,0.8725,0.9975
577,1,0.68,1
578,0.8,0.645,0.8125
579,0.625,0.5175,0.6275
580,0.52,0.3325,0.525
581,0.5575,0.4775,0.5625
582,0.3325,0.295,0.3325
583,0.0025,0.0025,0.0025
584,0.0025,0.0025,0.0025
585,0.1225,0.1225,0.1225
586,0.7125,0.6225,0.7125
587,0.57,0.5425,0.5725
588,0.7625,0.5825,0.765
589,0.9975,0.845,0.9975
590,1,0.7975,1
591,1,0.8675,1
592,0.98,0.9075,0.985
593,0.77,0.65,0.77
594,0.4025,0.165,0.405
595,0.34,0.27,0.34
596,0.245,0.175,0.2475
597,0.005,0.005,0.005
598,0.1125,0.1125,0.1125
599,0.18,0.1825,0.1825
600,0.1675,0.16,0.17
601,0.7525,0.5475,0.7525
602,0.8525,0.6825,0.8525
603,0.57,0.4475,0.575
604,0.9875,0.84,0.9875
605,1,0.985,1
606,1,0.8175,1
607,0.9975,0.8675,0.9975
608,0.96,0.5425,0.96
609,0.8,0.6225,0.8075
610,0.3875,0.275,0.39
611,0.17,0.065,0.175
612,0.09,0.06,0.09
613,0.005,0.005,0.005
614,0.0675,0.0675,0.0675
615,0.38,0.3525,0.38
616,0.8025,0.6775,0.8025
617,0.97,0.8625,0.9725
618,0.895,0.735,0.895
619,1,0.945,1
620,1,0.9525,1
621,1,0.9075,1
622,0.9975,0.8975,1
623,0.9875,0.92,0.9875
624,0.9975,0.89,0.9975
625,0.7375,0.7025,0.74
626,0.2125,0.12,0.215
627,0.0325,0.025,0.0325
628,0,0,0
629,0.0325,0.0325,0.0325
630,0.14,0.14,0.14
631,0.03,0.0275,0.03
632,0.575,0.56,0.575
633,0.9875,0.95,0.9875
634,1,0.845,1
635,1,0.8475,1
636,1,0.8975,1
637,1,0.9725,1
638,1,0.985,1
639,1,0.97,1
640,1,0.91,1
641,0.9775,0.7925,0.9775
642,0.77,0.305,0.77
643,0.19,0.105,0.19
644,0.1825,0.1825,0.1825
645,0.0475,0.0475,0.0475
646,0.0925,0.0925,0.0925
647,0.2525,0.245,0.2525
648,0.6325,0.56,0.6325
649,0.94,0.925,0.94
650,1,0.9125,1
651,1,0.7375,1
652,0.9975,0.9275,0.9975
653,1,0.995,1
654,0.9975,0.72,1
655,0.9975,0.95,1
656,1,0.895,1
657,0.705,0.46,0.7075
658,0.4575,0.1175,0.4675
659,0.35,0.23,0.3525
660,0.325,0.325,0.325
661,0.215,0.215,0.215
662,0.3725,0.35,0.3725
663,0.895,0.85,0.895
664,0.43,0.38,0.43
665,0.8525,0.725,0.855
666,1,1,1
667,0.9975,0.8125,0.9975
668,0.9975,0.6975,0.9975
669,0.9875,0.815,0.9875
670,0.9575,0.8525,1
671,0.995,0.815,0.9975
672,0.9925,0.895,0.9925
673,0.7425,0.4375,0.7425
674,0.3025,0.1375,0.305
675,0.095,0.0625,0.095
676,0.0675,0.065,0.0675
677,0.1425,0.1425,0.1425
678,0.245,0.245,0.245
679,0.19,0.19,0.19
680,0.8025,0.72,0.8025
681,0.6825,0.63,0.6825
682,0.5175,0.515,0.5175
683,0.9225,0.9125,0.925
684,1,0.97,1
685,1,0.9575,1
686,0.6925,0.375,0.7
687,0.555,0.2925,0.5575
688,0.75,0.3625,0.7575
689,0.9,0.5275,0.9075
690,0.8675,0.2925,0.8675
691,0.525,0.2275,0.535
692,0.1725,0.06,0.1725
693,0.1925,0.135,0.205
694,0.2175,0.1825,0.2175
695,0.205,0.1925,0.205
696,0.585,0.585,0.585
697,0.1525,0.1475,0.1525
698,0.3775,0.375,0.3775
699,0.21,0.2075,0.21
700,0.995,0.9775,0.995
701,1,0.995,1
702,0.9975,0.89,0.9975
703,0.9475,0.6725,0.9475
704,0.4975,0.1625,0.505
705,0.1,0.045,0.1
706,0.1475,0.065,0.1475
707,0.2375,0.1075,0.2375
708,0.1525,0.0275,0.1525
709,0.025,0.0125,0.025
710,0.105,0.0975,0.1075
711,0.0175,0.015,0.02
712,0,0,0
713,0.0375,0.0375,0.0375
714,0.475,0.475,0.475
715,0.02,0.02,0.02
716,0,0,0
717,0.1925,0.1925,0.1925
718,0.6475,0.64,0.6475
719,0.855,0.83,0.855
720,1,0.98,1
721,0.9975,0.7825,0.9975
722,0.805,0.5475,0.825
723,0.0925,0.075,0.0975
724,0,0,0
725,0.0125,0.0125,0.0125
726,0.7675,0.7675,0.7675
727,0.785,0.785,0.785
728,0.0575,0.0575,0.0575
729,0.055,0.0525,0.055
730,0.7825,0.7825,0.7825
731,1,0.8525,1
732,1,0.79,1
733,1,0.9025,1
734,0.7375,0.68,0.74
735,0.0825,0.0825,0.0825
736,0.0175,0.0175,0.0175
737,0.7525,0.7525,0.7525
738,0.9675,0.9675,0.9675
739,0.2875,0.285,0.2875
740,0.6,0.5875,0.6
741,0.98,0.97,0.98
742,1,0.9125,1
743,1,0.935,1
744,1,0.985,1
745,0.8325,0.83,0.8325
746,0.1025,0.0975,0.105
747,0.025,0.025,0.025
748,0.54,0.54,0.54
749,0.7025,0.7025,0.7025
750,0.14,0.14,0.14
751,0.9775,0.97,0.9775
752,0.9625,0.9525,0.9625
753,1,0.9275,1
754,1,0.86,1
755,0.95,0.81,0.9625
756,0.685,0.585,0.695
757,0.1025,0.105,0.105
758,0.0125,0.0125,0.0125
759,0.56,0.56,0.56
760,0.32,0.3175,0.32
761,0.22,0.22,0.22
762,0.3475,0.295,0.3475
763,0.29,0.2825,0.3175
764,0.5775,0.5325,0.58
765,0.0025,0.0025,0.0025
766,0.0025,0.0025,0.0025
767,0.22,0.2225,0.225
768,0.1075,0.13,0.13
769,0.02,0.02,0.02
770,0.6125,0.6275,0.6275
771,0.26,0.3,0.3
772,0,0,0
773,0.335,0.3475,0.3475
774,0.155,0.17,0.17
775,0.05,0.0675,0.0675
776,0.07,0.0825,0.0825
777,0.04,0.0575,0.0575
778,0,0,0
779,0,0,0
780,0.1075,0.1075,0.1075
781,0.0275,0.0275,0.0275
782,0,0,0
783,0.08,0.08,0.08
784,0.2025,0.2025,0.2025
785,0,0,0
786,0.0675,0.0675,0.0675
787,0.6875,0.6875,0.6875
788,0.365,0.365,0.365
789,0,0,0
790,0.3625,0.3625,0.3625
791,0.3675,0.3675,0.3675
792,0,0,0
793,0.3075,0.3075,0.3075
794,0.445,0.445,0.445
795,0,0,0
796,0.1975,0.1975,0.1975
797,0.2075,0.21,0.21
